SIGUNGU,housing_cat,satis,sex,owning,cluster,occupy,num_of_room,num_of_livingroom,num_of_kitchen,area,income
10,4.0,2.0,3.0,0.0,3.0,2,2.0,1.0,0.0,14.0,380
10,4.0,3.0,2.0,0.0,2.0,3,1.0,1.0,0.0,12.0,0
10,4.0,3.0,2.0,0.0,2.0,2,1.0,1.0,0.0,12.0,0
10,4.0,3.0,3.0,0.0,3.0,2,1.0,1.0,0.0,12.0,300
10,4.0,2.0,3.0,1.0,3.0,1,1.0,1.0,0.0,12.0,300
16,6.0,3.0,3.0,0.0,3.0,3,1.0,1.0,0.0,8.0,400
16,6.0,3.0,1.0,1.0,2.0,1,1.0,1.0,0.0,8.0,200
10,4.0,3.0,2.0,1.0,0.0,1,1.0,1.0,0.0,12.0,150
16,6.0,3.0,3.0,0.0,3.0,7,2.0,1.0,0.0,15.0,600
10,4.0,3.0,1.0,0.0,0.0,3,1.0,1.0,0.0,12.0,180
10,4.0,2.0,3.0,1.0,3.0,1,1.0,1.0,0.0,12.0,450
12,6.0,4.0,3.0,1.0,3.0,1,3.0,0.0,1.0,18.0,160
12,6.0,4.0,2.0,1.0,2.0,1,2.0,0.0,1.0,12.0,0
10,4.0,3.0,3.0,1.0,2.0,1,1.0,1.0,0.0,12.0,150
12,6.0,4.0,3.0,1.0,3.0,2,3.0,0.0,1.0,15.0,600
12,6.0,4.0,3.0,0.0,3.0,2,2.0,0.0,1.0,12.0,700
10,4.0,2.0,3.0,1.0,0.0,1,1.0,1.0,0.0,12.0,280
12,2.0,4.0,3.0,0.0,3.0,2,3.0,1.0,1.0,16.0,360
10,4.0,2.0,2.0,1.0,2.0,1,1.0,1.0,0.0,12.0,0
12,2.0,4.0,3.0,0.0,0.0,2,2.0,0.0,1.0,10.0,300
12,2.0,4.0,3.0,0.0,2.0,2,2.0,0.0,1.0,5.0,0
20,3.0,3.0,3.0,1.0,2.0,1,2.0,1.0,0.0,25.0,30
16,6.0,3.0,2.0,0.0,0.0,3,1.0,1.0,0.0,12.0,0
16,6.0,3.0,3.0,1.0,2.0,3,1.0,1.0,0.0,12.0,400
20,2.0,3.0,3.0,1.0,1.0,1,3.0,1.0,0.0,30.0,200
20,2.0,3.0,2.0,0.0,0.0,3,2.0,1.0,0.0,16.0,230
20,2.0,3.0,3.0,0.0,3.0,3,3.0,1.0,0.0,16.0,500
20,6.0,3.0,3.0,1.0,1.0,1,3.0,1.0,0.0,18.0,600
10,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,25.7,0
10,4.0,2.0,3.0,1.0,2.0,1,3.0,1.0,0.0,25.7,0
10,4.0,2.0,3.0,1.0,3.0,1,3.0,1.0,0.0,25.7,650
7,6.0,1.0,3.0,0.0,3.0,2,1.0,0.0,1.0,16.6,9999999
7,6.0,2.0,3.0,0.0,2.0,3,3.0,0.0,1.0,16.0,0
7,6.0,2.0,2.0,0.0,2.0,3,1.0,0.0,1.0,10.0,0
7,6.0,3.0,3.0,1.0,2.0,1,3.0,0.0,1.0,20.0,0
7,6.0,3.0,3.0,1.0,3.0,1,3.0,0.0,1.0,18.0,400
20,6.0,3.0,2.0,0.0,2.0,2,2.0,1.0,0.0,15.0,0
